央视,#genre#
东方卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226347/index.m3u8
江苏卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226211/index.m3u8
北京卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226146/index.m3u8
安徽卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221225775/index.m3u8
天津卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226485/index.m3u8
辽宁卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221225789/index.m3u8
深圳卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226150/index.m3u8
东南卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226278/index.m3u8
湖北卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221225769/index.m3u8
广东卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226213/index.m3u8
黑龙江卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226148/index.m3u8
重庆卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226310/index.m3u8
贵州卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221225777/index.m3u8
江西卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226312/index.m3u8
河北卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221225779/index.m3u8
海南卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226325/index.m3u8
四川卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226327/index.m3u8
河南卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226415/index.m3u8
甘肃卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226387/index.m3u8
吉林卫视HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226507/index.m3u8
山西卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225954/index.m3u8
广西卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226037/index.m3u8
云南卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226031/index.m3u8
陕西卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226035/index.m3u8
内蒙古卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226033/index.m3u8
宁夏卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225866/index.m3u8
新疆卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226073/index.m3u8
青海卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225958/index.m3u8
西藏卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221225857/index.m3u8
兵团卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226352/index.m3u8
厦门卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226505/index.m3u8
三沙卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226388/index.m3u8
农林卫视,http://39.134.144.6:8089/PLTV/88888888/224/3221226501/index.m3u8
金鹰纪实HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226386/index.m3u8
纪实人文HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226499/index.m3u8
CETV-1HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226252/index.m3u8
CETV-2,http://39.134.144.6:8089/PLTV/88888888/224/3221226390/index.m3u8
CETV-4,http://39.134.144.6:8089/PLTV/88888888/224/3221226199/index.m3u8
中国交通HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226295/index.m3u8
亚洲影院HD,http://39.134.144.6:8089/PLTV/88888888/224/3221225844/index.m3u8
欧美影院HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226345/index.m3u8
济南新闻HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226215/index.m3u8
济南都市,http://39.134.144.6:8089/PLTV/88888888/224/3221226029/index.m3u8
济南生活,http://39.134.144.6:8089/PLTV/88888888/224/3221225906/index.m3u8
济南影视,http://39.134.144.6:8089/PLTV/88888888/224/3221226067/index.m3u8
济南娱乐,http://39.134.144.6:8089/PLTV/88888888/224/3221225992/index.m3u8
济南商务,http://39.134.144.6:8089/PLTV/88888888/224/3221225862/index.m3u8
济南少儿,http://39.134.144.6:8089/PLTV/88888888/224/3221225979/index.m3u8
济南教育HD,http://39.134.144.6:8089/PLTV/88888888/224/3221225987/index.m3u8
济南鲁中,http://39.134.144.6:8089/PLTV/88888888/224/3221225910/index.m3u8
济南科教,http://39.134.144.6:8089/PLTV/88888888/224/3221225995/index.m3u8
长清新闻,http://39.134.144.6:8089/PLTV/88888888/224/3221225865/index.m3u8
章丘综合HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226297/index.m3u8
济阳综合HD,http://39.134.144.6:8089/PLTV/88888888/224/3221225936/index.m3u8
平阴综合,http://39.134.144.6:8089/PLTV/88888888/224/3221226197/index.m3u8
商河综合HD,http://39.134.144.6:8089/PLTV/88888888/224/3221226266/index.m3u8
诸城新闻,http://39.135.162.228:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001004/index.m3u8?IASHttpSessionId=RR32220210512000742670276&zte_bandwidth=1000&bandwidth=2540800&ispcode=3&timeformat
昌乐新闻HD,http://39.135.162.228:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001033/index.m3u8?IASHttpSessionId=RR32220210512000742670276&zte_bandwidth=1000&bandwidth=2540800&ispcode=3&timeformat
寿光新闻,http://39.135.162.228:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001000/index.m3u8?IASHttpSessionId=RR32220210512000742670276&zte_bandwidth=1000&bandwidth=2540800&ispcode=3&timeformat
寿光蔬菜HD,http://39.135.162.228:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001045/index.m3u8?IASHttpSessionId=RR32220210512000742670276&zte_bandwidth=1000&bandwidth=2540800&ispcode=3&timeformat
青州综合HD,http://39.135.162.228:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001042/index.m3u8?IASHttpSessionId=RR32220210512000742670276&zte_bandwidth=1000&bandwidth=2540800&ispcode=3&timeformat
青州文旅HD,http://39.135.162.228:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001057/index.m3u8?IASHttpSessionId=RR32220210512000742670276&zte_bandwidth=1000&bandwidth=2540800&ispcode=3&timeformat
临朐综合HD,http://39.135.162.228:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001085/index.m3u8?IASHttpSessionId=RR32220210512000742670276&zte_bandwidth=1000&bandwidth=2540800&ispcode=3&timeformat
高密新闻HD,http://39.135.162.228:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001089/index.m3u8?IASHttpSessionId=RR32220210512000742670276&zte_bandwidth=1000&bandwidth=2540800&ispcode=3&timeformat
